,0
Ride Distance,0.28500822931368863
Avg VTAT,0.21642896681561516
Avg CTAT,0.19962441332128192
Hour,0.11144209869989939
Weekday_num,0.05300397635133109
Vehicle Type_Auto,0.016633800933557433
Vehicle Type_Go Mini,0.015860163417183926
Vehicle Type_Go Sedan,0.015385220485994658
Vehicle Type_Bike,0.014425856409748958
Vehicle Type_Premier Sedan,0.013126614131629055
Vehicle Type_eBike,0.010273142674272432
Weekday_Wednesday,0.0092478477050632
Weekday_Tuesday,0.008567599835829172
Weekday_Thursday,0.008475143803932057
Vehicle Type_Uber XL,0.005953276208197845
Weekday_Monday,0.0056472929939214685
Weekday_Friday,0.0054531700480447325
Weekday_Saturday,0.002890247416700496
Weekday_Sunday,0.0025529394341084082
