model,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_lambda,cv_mean_MAE
RF,600,8,2,3,,,,,16.67590464640237
RF,600,8,5,3,,,,,16.675904646402373
RF,600,8,5,1,,,,,16.69264715719699
RF,300,8,5,3,,,,,16.69266511821355
RF,300,8,2,3,,,,,16.692665118213558
RF,600,8,2,1,,,,,16.702467573953594
RF,600,,5,1,,,,,16.725184572757463
RF,600,12,5,3,,,,,16.736180526094454
RF,600,12,2,3,,,,,16.736180526094454
RF,300,8,5,1,,,,,16.73713762906648
RF,300,12,5,3,,,,,16.738696082022994
RF,300,12,2,3,,,,,16.738696082022994
RF,600,,5,3,,,,,16.74123006755976
RF,600,,2,3,,,,,16.74123006755976
RF,300,8,2,1,,,,,16.741456720825695
RF,600,12,2,1,,,,,16.742249004755646
RF,600,12,5,1,,,,,16.744529851626808
RF,300,,2,3,,,,,16.74709524117858
RF,300,,5,3,,,,,16.747095241178585
RF,600,,2,1,,,,,16.75164583333334
RF,300,,5,1,,,,,16.76134109902443
RF,300,12,2,1,,,,,16.788083784301577
RF,300,12,5,1,,,,,16.806007678232756
RF,300,,2,1,,,,,16.81502777777778
XGB,400,4,,,0.03,0.8,0.8,3.0,17.15641860961914
XGB,400,6,,,0.03,1.0,0.8,3.0,17.16047592163086
XGB,800,6,,,0.03,1.0,0.8,3.0,17.16679229736328
XGB,400,6,,,0.03,0.8,0.8,3.0,17.206743494669595
XGB,800,6,,,0.03,1.0,1.0,3.0,17.218106333414713
XGB,800,6,,,0.03,0.8,0.8,3.0,17.229851277669272
XGB,400,6,,,0.03,1.0,1.0,3.0,17.242608388264973
XGB,400,6,,,0.06,1.0,0.8,1.0,17.273475138346353
XGB,400,6,,,0.1,1.0,0.8,1.0,17.27499389648438
XGB,800,6,,,0.1,1.0,0.8,1.0,17.274997075398765
XGB,800,6,,,0.06,1.0,0.8,1.0,17.275320688883465
XGB,400,4,,,0.03,0.8,0.8,1.0,17.290899658203127
XGB,400,4,,,0.03,0.8,1.0,1.0,17.295779291788737
XGB,400,4,,,0.06,1.0,0.8,3.0,17.30242983500163
XGB,800,4,,,0.03,0.8,0.8,3.0,17.302921676635744
XGB,400,6,,,0.03,0.8,0.8,1.0,17.30449981689453
XGB,400,4,,,0.06,0.8,0.8,1.0,17.30634422302246
XGB,400,6,,,0.06,0.8,0.8,1.0,17.313222249348957
XGB,800,6,,,0.06,0.8,0.8,1.0,17.313714345296223
XGB,800,4,,,0.06,1.0,0.8,3.0,17.318637975056966
XGB,400,6,,,0.03,1.0,0.8,1.0,17.318717193603515
XGB,800,6,,,0.03,0.8,0.8,1.0,17.321941248575843
XGB,800,6,,,0.1,1.0,1.0,3.0,17.327159372965497
XGB,400,6,,,0.1,1.0,1.0,3.0,17.327195739746095
XGB,800,4,,,0.06,0.8,0.8,1.0,17.3317086537679
XGB,800,6,,,0.06,1.0,0.8,3.0,17.346299743652345
XGB,800,6,,,0.1,1.0,0.8,3.0,17.347340647379557
XGB,400,6,,,0.1,1.0,0.8,3.0,17.34748242696126
XGB,400,6,,,0.06,1.0,0.8,3.0,17.350645446777346
XGB,800,6,,,0.03,1.0,0.8,1.0,17.35249087015788
XGB,400,4,,,0.1,1.0,0.8,3.0,17.358691024780274
XGB,800,4,,,0.1,1.0,0.8,3.0,17.362116877237955
XGB,400,4,,,0.03,1.0,0.8,3.0,17.386491394042967
XGB,400,6,,,0.03,0.8,1.0,1.0,17.401858139038087
XGB,400,6,,,0.06,0.8,0.8,3.0,17.416347885131835
XGB,400,4,,,0.06,0.8,0.8,3.0,17.420887247721353
XGB,800,6,,,0.06,0.8,0.8,3.0,17.421079762776696
XGB,800,6,,,0.03,0.8,1.0,1.0,17.429486846923826
XGB,800,4,,,0.03,0.8,1.0,1.0,17.450696945190426
XGB,800,4,,,0.03,0.8,0.8,1.0,17.45532684326172
